Number,Label,tsfresh_Value__fourier_entropy__bins_10,Cesium_freq1_signif,TSFEL_0_Spectral entropy,tsfresh_Value__cid_ce__normalize_True,Cesium_freq1_lambda,"tsfresh_Value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0","tsfresh_Value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",tsfresh_Value__number_crossing_m__m_0,"tsfresh_Value__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",tsfresh_Value__lempel_ziv_complexity__bins_5,tsfresh_Value__lempel_ziv_complexity__bins_100,"tsfresh_Value__fft_aggregated__aggtype_""centroid""",tsfresh_Value__ratio_beyond_r_sigma__r_3,Cesium_period_fast,tsfresh_Value__permutation_entropy__dimension_6__tau_1,TSFEL_0_Fundamental frequency,Cesium_freq2_freq,tsfresh_Value__ratio_beyond_r_sigma__r_1.5,TSFEL_0_Wavelet energy_2,TSFEL_0_Spectral spread,Cesium_p2p_scatter_2praw,"tsfresh_Value__fft_coefficient__attr_""abs""__coeff_1",Cesium_freq_frequency_ratio_21,TSFEL_0_Median diff
11231750,INSTRUMENT,1.4056488419439088,5.637580593572095,0.8432066396109233,30.149045694498543,21.064091532082166,36277.12637143018,17178.71856678489,322.0,12323.498669964723,0.1819537658463833,0.4988814317673378,229.37212965870418,0.0022371364653243847,0.5957573647796007,5.866751200197655,0.2242152466367713,1.6784626509192102,0.1297539149888143,416.7302205814657,13.648297073130697,2.809249528040283,9023.176235109504,7.5098039215686265,3.337860107421874
11235536,INSTRUMENT,0.8114877433659303,10.966111958428655,0.6676192434355654,12.016046990242781,7.558673429625162,37527.37170173301,15871.915505758481,140.0,10210.25514848591,0.14541387024608501,0.48322147651006714,120.3198225789112,0.002982848620432513,5.939739696312366,4.168310306242619,0.3736920777279522,0.1358546793172207,0.1297539149888143,1057.786873844893,10.622215643822498,15.399524171056056,46429.68027932124,0.794871794871795,-3.8444824218749716
11235785,INSTRUMENT,0.7772896455165087,8.607453717707584,0.6990789670757745,15.602257766867156,21.064091532082166,46433.8662751439,18162.38618310345,170.0,17720.320992993715,0.15734526472781507,0.4929157345264728,157.84210216559578,0.0014914243102162564,0.9402582240230758,5.1277654767500955,0.14947683109118087,0.1884435874400158,0.12900820283370618,856.6942232145263,12.732727452253494,11.550877037111299,11691.144554850367,0.17744154057771666,5.453826904296875
11235827,INSTRUMENT,0.6581283911157201,10.95512589521865,0.6278796316445365,9.790822250195486,7.558673429625162,39991.21273646647,13897.469516143121,127.0,12121.60785847154,0.12826249067859807,0.4541387024608501,100.41432892175351,0.005965697240865026,4.625371621621624,3.964874672210331,0.14947683109118087,0.37834797788344254,0.11707680835197613,1067.17173846293,9.343995127961097,28.744277986695955,51778.17728907869,1.7382550335570468,-3.7252960205078125
11237282,INSTRUMENT,0.738896561550051,10.499739784081367,0.7021169780223239,15.122998414927872,7.558673429625162,23924.57376314353,8279.143594607904,202.0,8533.001309965013,0.13348247576435496,0.46607009694258017,157.392807505774,0.0007457121551081282,9.689384288747348,5.129986238009099,0.07473841554559044,0.2527189195900987,0.1401938851603281,587.4955800885876,12.803010520040232,1.0,60766.94034718552,4.6756756756756745,-3.8147010803222727
11244238,INSTRUMENT,0.6256862263757215,11.328436325670518,0.6307850927647113,9.333522786027254,7.558673429625162,24774.532334260006,8989.798089034963,119.0,10239.406359098013,0.14093959731543623,0.4742729306487696,95.92739862895581,0.0022371364653243847,2.1216643421664356,3.757341343192134,0.14947683109118087,0.9042370591113935,0.13497390007457122,851.4506504426558,8.84685027375015,28.0359115832194,60262.4965569366,1.91640866873065,3.1291885375976705
11247623,INSTRUMENT,0.7535454628488646,10.332474207379848,0.7021760161573168,16.749707042198438,12.618105601980902,24630.24176357979,11373.29851923663,208.0,9451.013798410839,0.16405667412378822,0.4981357196122297,173.6492964447866,0.0007457121551081282,1.9773396880415954,5.40834977730125,0.07473841554559044,0.33744549378793526,0.13124533929903057,592.0388281734748,13.94524184602073,8.669976913549771,54762.846172156336,0.665706051873199,4.2617340087890625
11250137,INSTRUMENT,0.9477129665266697,9.801118343939457,0.7887302152962571,24.440198511655144,2.71236686987914,25427.02472001475,10902.774805775676,296.0,7703.174498029372,0.1789709172259508,0.5018642803877703,192.46914429060516,0.0022371364653243847,18.085997357992078,5.569545340531315,0.07473841554559044,0.19720840546048163,0.13348247576435496,365.7146271613678,12.607711853590073,1.0,42885.97142116674,5.3999999999999995,0.17881774902348013
11250385,INSTRUMENT,0.8341304009582953,9.53163893643115,0.7394801881450265,18.46294706872354,7.558673429625162,48526.03532071951,19723.26255641954,197.0,16274.876981113624,0.13348247576435496,0.46607009694258017,179.3988391478988,0.0007457121551081282,3.6636606903933657,5.324231938230489,0.29895366218236175,0.4513881280539913,0.1297539149888143,835.9051415179363,13.858190643357162,7.11944941512302,19731.02143326732,1.6524064171122994,-5.3048095703125
11250726,INSTRUMENT,1.3859336023264344,6.136617304611278,0.845643974087208,31.87877125687802,21.064091532082166,51525.47228198477,26178.7361712027,378.0,18787.669926789527,0.18642803877703207,0.5070842654735273,237.3213976641751,0.0037285607755406414,8.389154411764709,5.950447789094143,0.2242152466367713,0.44262331003352545,0.1401938851603281,448.1461557155913,13.777880492970494,1.0,15650.4556640602,7.046511627906976,-11.593107223510753
11251095,INSTRUMENT,0.841887090677748,9.362083300621649,0.6816307325636144,11.600065611968068,12.618105601980902,22009.968366939265,10277.211876431262,130.0,7170.368334523391,0.15436241610738255,0.4906785980611484,105.06605608471403,0.0007457121551081282,2.739863918351012,3.823781716235419,0.14947683109118087,0.36666155385615473,0.14317673378076062,860.3222342244726,8.811672617344133,19.961591939243693,20965.594524962486,2.345794392523364,13.47067260742196
11251802,INSTRUMENT,0.9698606460563576,9.091243875245674,0.7758967188673419,23.38748633589919,12.618105601980902,26060.839194276126,12455.316631334535,271.0,10294.226209688213,0.17598806860551827,0.49217002237136465,195.93652333322567,0.0037285607755406414,9.52093184979138,5.644238752420767,0.2242152466367713,0.9743556032751203,0.13049962714392244,398.5146291663245,12.91222841366804,3.533368288885097,9826.359818572044,9.136986301369861,0.29801177978515625
11252201,INSTRUMENT,1.2641700232916964,6.084022878775688,0.843257798226583,30.89829290853727,0.0007457121551081285,48411.78756503688,22955.798767547512,351.0,20159.654614079114,0.1424310216256525,0.45563012677106635,234.36939410001906,0.002982848620432513,0.09748995983935746,5.885759673693961,0.07473841554559044,10.256297886948456,0.13497390007457122,485.30848452574736,14.094580137159303,1.0,20367.004514437423,468.06666666666666,1.4901199340820384
11252325,INSTRUMENT,1.37562342004584,5.283940454910547,0.9195119979266111,41.26098780578376,35.16343626116747,42070.91062706422,16329.196650954362,335.0,16206.460442385585,0.03877703206562267,0.3296047725577927,294.7412546659057,0.0007457121551081282,0.9893843040901871,5.739471221958105,0.07473841554559044,0.16799234539226215,0.035048471290082026,510.1219895164112,15.010250986057994,1.4926396964128208,18054.621369365494,0.1654676258992806,9.298324584960945
11252376,INSTRUMENT,0.9712043495322817,11.464326618166698,0.771630744736278,25.268701621698096,7.558673429625162,65178.96451826732,26370.609476204783,299.0,25014.48723924193,0.17300521998508575,0.4929157345264728,193.43457798603595,0.002982848620432513,10.06698529411765,5.2986467471946455,0.2242152466367713,8.921123941830825,0.13049962714392244,526.9391810294576,12.417906157816747,3.128613339338276,28131.304061549865,81.42666666666666,-0.17880630493164773
11255231,INSTRUMENT,0.8359582479523506,10.926246219723707,0.6959195456481625,15.043789159616837,7.558673429625162,40150.7271564893,16736.996983063003,174.0,11039.792944448154,0.1558538404175988,0.4899328859060403,150.1328877163327,0.0014914243102162564,9.547489539748955,4.873843965284996,0.2242152466367713,1.0298661174047374,0.13124533929903057,892.1403443794221,12.22035146833716,6.957996780352187,40317.22849849257,9.657534246575342,-0.9834766387939422
11259749,INSTRUMENT,0.5771044838324568,11.598119177551334,0.6247698994137112,9.207647434064063,4.527901875123955,33987.55460582965,13659.47671812073,98.0,12344.541636028078,0.14168530947054436,0.48695003728560776,105.32885229146031,0.0,2.3083965604451198,4.213056341278277,0.2242152466367713,0.3432887058015791,0.14317673378076062,1004.1818632756059,10.481327747738943,17.528718755228955,45895.634898578646,3.2191780821917804,3.546478271484375
11283744,INSTRUMENT,0.8299204283511198,11.989101204050813,0.6862005628292487,13.86592654104588,4.527901875123955,27285.6357397738,12151.142258066457,154.0,7483.093471891837,0.15883668903803133,0.4966442953020134,147.1140987699353,0.0007457121551081282,12.31214028776979,5.118494570757621,0.14947683109118087,1.0123364813638058,0.14168530947054436,664.5139347597665,12.414313891966358,1.0,111337.03664498759,23.896551724137936,-0.11920166015613631
11284111,INSTRUMENT,1.1376761377589328,8.014015948775546,0.8054229238318318,27.989919896555296,12.618105601980902,44496.63542848049,20532.364914707203,322.0,14566.14153735027,0.15137956748695003,0.4720357941834452,216.98697028821815,0.0014914243102162564,4.0674688057041015,5.4880483803715885,0.29895366218236175,1.6843058629328542,0.12602535421327368,458.09474000353293,13.430548814149086,3.35929499090931,8084.289462845306,6.822485207100591,8.881095886230462
11284371,INSTRUMENT,1.3498804537214333,8.518371581212303,0.8416700900377069,33.57551675762553,2.71236686987914,36402.13671871956,19098.602088629952,405.0,10121.402298608407,0.1789709172259508,0.49142431021625654,239.40344884752932,0.0022371364653243847,34.22775000000001,5.896445083961036,0.07473841554559044,0.20889482948776944,0.13646532438478748,358.2420212890555,13.38683722755483,1.0,57122.038436749535,9.533333333333333,-7.987033843994112
11288051,INSTRUMENT,0.8127762640830499,9.117350078154965,0.7148226077717337,14.164670125959761,12.618105601980902,23555.372176495548,9769.144388348854,171.0,6940.313899599871,0.17002237136465326,0.5033557046979866,133.59769119249637,0.0,7.198264984227132,4.530180730011824,0.14947683109118087,0.46307455208127907,0.14392244593586875,715.906952201699,10.93526592898336,13.774457861118517,20465.04769634607,3.3368421052631576,1.966949462890625
11296436,INSTRUMENT,0.7259592854752684,9.904892311113166,0.6603424984426778,10.981880004082516,7.558673429625162,24445.03985089924,10767.858171629925,145.0,9021.313645514369,0.1342281879194631,0.46234153616703955,119.47633487629186,0.005965697240865026,1.226032058744516,4.372366097042509,0.14947683109118087,1.0181796933774496,0.10141685309470544,879.8485091445052,10.994051114175507,19.992816180167885,37535.020957916364,2.445614035087719,0.8940811157226491
11296675,INSTRUMENT,1.1211969731393157,6.736322417460387,0.7660975825070563,18.113749972962502,21.064091532082166,41121.47719249016,15635.262993925471,210.0,18262.751979518078,0.1506338553318419,0.48396718866517524,160.10853997510387,0.0022371364653243847,0.9607115290155082,4.9131706576737795,0.2242152466367713,0.4455449160403474,0.13571961222967935,625.9902175540224,11.891135109622631,8.400038607406012,34097.128884046106,0.4265734265734266,-1.1324920654296804
11297580,INSTRUMENT,0.8731240042296162,11.36436292982466,0.7040602683559606,16.357369770128436,7.558673429625162,37961.39471026219,15528.907524764989,182.0,12170.936025626332,0.1662938105891126,0.49589858314690527,157.2337796688857,0.0014914243102162564,4.399453727506429,4.540564318921603,0.07473841554559044,4.471517993440995,0.1424310216256525,861.0830100778004,12.493424097749143,9.518333017931743,66784.81239896119,19.74838709677419,2.7418136596679457
11298044,INSTRUMENT,1.1528952416024258,7.80880749691819,0.7935499220418365,27.7263521841243,21.064091532082166,59391.398004229624,25238.32414823111,315.0,20799.451892061756,0.1849366144668158,0.5003728560775541,205.51794731311838,0.0014914243102162564,8.358424908424912,5.405623049035365,0.2242152466367713,9.560955657324833,0.13348247576435496,472.5862412342117,12.65143610831245,2.687746726096105,16248.495129555165,78.855421686747,11.473899841308594
11298288,INSTRUMENT,0.13600216966487969,19.077985630675897,0.37397412744734126,2.115897551439006,7.558673429625162,17379.57831433751,5931.765394987531,22.0,5479.339880191514,0.09619686800894854,0.43847874720357943,50.62870139201966,0.0,2.3146407438715144,3.654894580175192,0.14947683109118087,0.059892923139849986,0.1424310216256525,310.98088394973865,9.118676600325758,472.41172094236737,356745.4849780727,0.13898305084745766,-4.947265625
11302230,INSTRUMENT,0.6930879269944369,10.76942730684714,0.6526525059773259,11.091042208617575,7.558673429625162,46621.629029596996,17979.065038139957,139.0,13488.326008419044,0.14317673378076062,0.4735272184936615,126.61719907055543,0.005965697240865026,3.1589986155976018,4.700797906969486,0.14947683109118087,0.24979731358327675,0.13944817300521997,1063.195756613644,11.876167522683579,21.122877787820535,34669.81692324957,0.7880184331797235,-3.2484569549560263
11302415,INSTRUMENT,0.8438787287398059,11.645341085152873,0.710863761816383,15.218747870978852,4.527901875123955,42947.26651030474,17689.680440417465,179.0,15252.315862867852,0.15436241610738255,0.488441461595824,145.915854292017,0.002982848620432513,9.842631200575127,4.833767675919065,0.2242152466367713,0.24395410156963285,0.13049962714392244,769.7343611177448,11.682480608627078,5.6881538971989025,32250.731596197194,2.4202898550724634,-4.619361877441413
11302636,INSTRUMENT,0.7813404153420308,10.018138626254238,0.7121060897620198,16.43034842926347,7.558673429625162,42954.773599666,19225.380435760268,180.0,12479.905908950506,0.16703952274422074,0.4966442953020134,159.071233011477,0.0007457121551081282,1.5156758551976095,4.9675842090726,0.2242152466367713,0.5770171863473351,0.13124533929903057,865.954656087319,12.58198880273776,8.2616301783085,1419.7967774799988,0.8681318681318682,3.7551040649414062
11303084,INSTRUMENT,0.9177701228927074,7.667474971186631,0.7866142424873557,24.3365920084633,21.064091532082166,7323.461722854634,3428.192986608795,274.0,2532.2354833694217,0.17524235645041014,0.488441461595824,211.14083114770284,0.0037285607755406414,3.2761665470208197,5.652718901270839,0.07473841554559044,0.7260190926952546,0.13273676360924683,216.4147609104352,14.48895793082181,4.741353160545025,22585.131179142747,2.377990430622009,-1.5497207641601562
11304518,INSTRUMENT,0.8084274925198035,10.889699636360557,0.7062541596360946,17.572538144817837,12.618105601980902,26337.735681539074,35430.945537751904,155.0,9192.429607742548,0.0976882923191648,0.4220730797912006,178.68994020147528,0.0014914243102162564,1.1508994620040356,4.419848756638642,0.2242152466367713,0.10371701324217925,0.12602535421327368,692.2837247406336,13.71444359709838,7.7552013153936805,34420.01406008256,0.119327731092437,-1.1324882507324219
11305577,INSTRUMENT,0.8910433372785538,11.388733393442656,0.7184768497929643,16.747565884778385,7.558673429625162,23672.69811964107,9893.56158045829,188.0,7519.185435311144,0.15659955257270694,0.488441461595824,155.2956299908399,0.002982848620432513,16.655839416058395,4.971015068065225,0.14947683109118087,0.6675869725588155,0.12527964205816555,506.02991419329226,11.641200024956706,1.0,72603.50631778208,11.14634146341463,4.172325134277315
11337680,INSTRUMENT,1.302610686786793,6.553131899781329,0.8318535868576648,29.039360996225632,21.064091532082166,23357.611113962794,10966.422604067542,343.0,8317.52939821767,0.16032811334824756,0.4780014914243102,223.2312522390047,0.0014914243102162564,7.364766003227545,5.815372158607742,0.14947683109118087,1.3804588382233713,0.13049962714392244,378.95154150818314,13.577048086585892,2.960960985589024,21200.762214761235,10.161290322580642,-5.3346176147460795
11340855,INSTRUMENT,1.301467520685375,7.439548119038057,0.8040965000537602,27.540801719652016,21.064091532082166,38847.7366367429,18871.008703305273,322.0,14465.236564951614,0.1528709917971663,0.47576435495898584,216.08861814569727,0.005965697240865026,0.12343220338983056,5.567210193188613,0.29895366218236175,0.6179196704428425,0.12453392990305742,419.8461146173208,13.566043031386403,3.3009992334970266,20327.859588532316,0.07628494138863842,2.831222534179716
11342416,INSTRUMENT,0.7851771823443534,11.646657517848125,0.7048138264585058,16.586663632819963,7.558673429625162,32684.568542250356,14250.638763776975,174.0,14742.948694274237,0.14839671886651754,0.48322147651006714,167.37939413589777,0.007457121551081283,5.601923076923081,5.249329786473927,0.07473841554559044,0.9509827552205447,0.12229679343773303,693.507911619472,13.273624150417344,8.759801558183343,51216.20005567052,5.3801652892561975,1.7881393432617188
11347582,INSTRUMENT,1.0582976711931862,7.895713973280285,0.7676692346231933,21.422175715582938,21.064091532082166,41530.595894431346,18077.56015427547,245.0,14052.458805696162,0.17076808351976136,0.49962714392244595,182.7578793803799,0.0022371364653243847,2.848158934886625,5.398677739501897,0.14947683109118087,0.05404971112620609,0.13571961222967935,543.8937897098866,12.824801589121583,5.02121691032771,32654.898019838794,0.15352697095435688,-2.1457595825195312
11351756,INSTRUMENT,0.8833231982797288,8.125890664701908,0.7427222057055133,17.694774949839154,21.064091532082166,31346.25125936364,12689.930663587762,184.0,11087.81241597195,0.15361670395227442,0.482475764354959,150.97501632364842,0.005965697240865026,1.1556596606735887,4.76459240304297,0.14947683109118087,0.25564052559692063,0.12826249067859807,499.90870806635434,10.926573929357684,8.180577208873618,12686.323267060781,0.2951096121416526,4.053123474121136
11352168,INSTRUMENT,0.2156169896628778,17.048587740086717,0.45437838216192017,2.852240757649284,0.9733102118135559,17847.799934476057,7123.360794945822,33.0,6749.644944924153,0.1029082774049217,0.4563758389261745,88.5278658417883,0.0,1.3239628662605172,2.6032641802579217,0.07473841554559044,0.7552351527634741,0.13944817300521997,568.5011688077899,11.071417024692291,1.0,350249.9196174079,13.97297297297297,6.22869873046875
11353275,INSTRUMENT,1.0723811321383396,12.315457432801646,0.7469097906761601,19.36098578392332,4.527901875123955,31176.967522883817,12359.439782016123,235.0,9461.322084673278,0.17524235645041014,0.49962714392244595,160.69592101418638,0.0007457121551081282,17.711642949547223,4.859551280886788,0.14947683109118087,1.175946417745835,0.14093959731543623,486.8958230107745,11.1747994533509,1.0,81064.74132699046,20.64102564102564,-8.285041809082031
11357260,INSTRUMENT,0.6623568153779965,11.874116188627982,0.6378115934911756,9.510421452250533,0.0007457121551081285,24758.268569628774,9157.8865977859,115.0,8244.203685403556,0.13571961222967935,0.4735272184936615,113.03683524097167,0.002982848620432513,5.063276627218937,4.548504171958088,0.07473841554559044,0.43093688600623764,0.13870246085011187,777.9404259373387,11.36049926693433,1.0,72768.07656738015,19.666666666666668,-0.73016357421875
11359182,INSTRUMENT,1.4258918120383581,5.453706056869596,0.8621654327733418,36.296215774764036,35.16343626116747,36040.19760209014,17700.230247938915,434.0,12316.601168068757,0.19239373601789708,0.4988814317673378,255.79391651378108,0.005219985085756898,1.5848014816529703,6.083164181071648,0.14947683109118087,0.051128105119384135,0.14690529455630127,370.7565271270574,14.360410033271407,1.859582338646591,21262.79510115177,0.0812064965197216,-0.05960083007815342
11361191,INSTRUMENT,0.627622116993366,12.208901932447247,0.6300532822333141,9.172693118055433,12.618105601980902,24827.24862356208,11409.05676950269,105.0,6339.538011325696,0.14615958240119314,0.47949291573452646,93.84251706024546,0.0007457121551081282,1.2077540578687374,3.521544776309291,0.07473841554559044,0.3812695838902645,0.13273676360924683,1048.2596014102019,8.722136977117295,32.028227547966466,90547.14443944825,0.4603174603174604,4.321342468261719
11362370,INSTRUMENT,1.2091638743452433,6.479096427044096,0.7923763243871791,25.850745753800553,21.064091532082166,39777.52290685238,20137.843023255384,314.0,12813.046528347608,0.18419090231170768,0.5026099925428784,195.840608134172,0.0014914243102162564,0.10962614801944132,5.4106317699601245,0.14947683109118087,9.122714756301539,0.1372110365398956,487.2706217617429,12.498749582370888,3.734741857203198,21023.3927275905,5.0,-1.0430965423583416
11389491,INSTRUMENT,0.7254097899882179,11.022443766863164,0.6580497814968441,10.774561180535722,7.558673429625162,24304.35553086793,9599.210576271782,118.0,6797.16454208055,0.16405667412378822,0.5003728560775541,103.24686855600743,0.0,6.03930304367005,3.942524681534529,0.29895366218236175,0.36666155385615473,0.14466815809097688,877.5363235885764,9.310208736708978,21.542255376321,20702.081730746257,2.1826086956521737,2.622619628906307
11389804,INSTRUMENT,1.5899785273811438,4.8945927564549105,0.8786773550036252,37.01138718411863,35.16343626116747,32020.847103803717,15136.377137973792,430.0,8632.360205623121,0.1528709917971663,0.4571215510812826,258.8036249904719,0.0022371364653243847,0.4017459432495087,6.1019978893373255,0.07473841554559044,0.10079540723535729,0.1297539149888143,336.89704931697315,14.16780056264283,1.9431330578060846,26614.652056577816,0.040516735173223725,2.3245849609375355
11389820,INSTRUMENT,0.3780358182875452,17.602296286314306,0.5256592201398,4.858561795881811,1.6247997946325996,20284.833184810566,6893.182830900944,54.0,7752.4968424922545,0.11707680835197613,0.4720357941834452,63.828917387120214,0.0,13.089005736137672,3.412925730418244,0.14947683109118087,0.2527189195900987,0.1424310216256525,675.4020269293228,8.151250518279532,1.9139434198997785,66238.77699491633,3.392156862745097,-0.6854248046873863
11390907,INSTRUMENT,0.8472784710311801,8.996682403887114,0.6907838931496548,14.859479190514099,21.064091532082166,31282.496019785114,12647.741178951132,160.0,10108.064540655436,0.1610738255033557,0.4899328859060403,139.9129381133717,0.0022371364653243847,0.26177510946253435,4.655698539567281,0.29895366218236175,0.22058125351505725,0.13348247576435496,820.4651041112202,11.312309816393967,11.344073995325,26583.3799876696,0.05774378585086043,-8.821487426757812
11391790,INSTRUMENT,0.3955852454859713,13.38203297050036,0.5519612863701387,5.514902274566523,2.71236686987914,14673.005954361868,5741.53199503225,75.0,5445.785292365082,0.1081282624906786,0.459358687546607,86.97739079532525,0.010439970171513796,4.228258184064239,4.010450232913891,0.2242152466367713,0.19136519344683775,0.13646532438478748,577.4274868089118,10.461725228908708,57.43666820972611,35724.95482246059,1.7466666666666666,-1.2517242431640625
11391889,INSTRUMENT,1.3175009623579665,17.807731846395406,0.7347030772685391,24.537176815633085,2.71236686987914,35177.82592399964,14012.157038334795,305.0,14214.209394132531,0.17971662938105892,0.4936614466815809,214.58907253151432,0.0022371364653243847,18.377315436241616,5.80744075501491,0.07473841554559044,0.349131917815223,0.13273676360924683,374.85160775847777,13.73114727230575,1.0,119426.01665484218,6.459459459459458,-4.082916259765625
11393482,INSTRUMENT,1.5878392279398108,6.157381339635674,0.8453598623621184,33.67231135809734,35.16343626116747,39532.413675706106,18205.88219732339,413.0,13904.7430951804,0.18120805369127516,0.4936614466815809,230.61179536231575,0.002982848620432513,0.06974295494834651,5.919309323429607,0.07473841554559044,0.8370401209544887,0.13348247576435496,400.5913586128601,13.332201047767677,2.2855282457635977,32466.177981522338,0.05838003056546102,-6.556507110595703
